State,Electricity_Price_cents_per_kWh,Grid_Capacity_MW,Renewable_Share_Percent,Existing_Data_Center_Ecosystem_Score,Interconnection_Region,Interconnection_Friction_Score,data_center_count,price_score,capacity_score,renewable_score,ecosystem_score,interconnection_score,competitiveness_score
Texas,9.79,168317,14.7,,ERCOT,1.0,467,1.0,1.0,0.2803532008830022,0.7491166077738516,1.0,0.8058939617313707
Washington,10.13,30975,47.3,,Western Interconnection,0.75,103,0.9802898550724636,0.1309668438370033,1.0,0.10600706713780919,0.75,0.5740155881549285
Virginia,10.62,29147,6.5,,PJM,0.55,609,0.9518840579710146,0.11940015186028853,0.09933774834437087,1.0,0.55,0.5426886021267
Oregon,11.11,17692,42.8,,Western Interconnection,0.75,125,0.9234782608695652,0.04691850164515313,0.9006622516556292,0.14487632508833923,0.75,0.5267069059774733
Illinois,12.21,46279,6.1,,MISO,0.65,228,0.8597101449275362,0.22780308782586686,0.09050772626931568,0.32685512367491165,0.65,0.42035087817719624
Nevada,11.47,16725,22.3,,Western Interconnection,0.75,71,0.9026086956521738,0.04079979751961529,0.44812362030905084,0.04946996466431095,0.75,0.41037084028761966
Georgia,11.4,39746,5.8,,Southeast,0.5,219,0.9066666666666666,0.1864654517843584,0.08388520971302428,0.31095406360424027,0.5,0.4022508842762092
California,27.04,96773,34.0,,CAISO,0.2,287,0.0,0.5473044798785117,0.7064017660044151,0.43109540636042404,0.2,0.3843255544425958
Ohio,11.29,30491,2.3,,PJM/MISO,0.6,210,0.9130434782608695,0.12790432801822324,0.006622516556291387,0.2950530035335689,0.6,0.3805720555877452
Arizona,12.74,32877,7.1,,Western Interconnection,0.75,156,0.8289855072463768,0.14300177170336623,0.11258278145695365,0.19964664310954064,0.75,0.3804427046507346
Indiana,11.38,27837,6.0,,MISO,0.65,122,0.9078260869565217,0.1111111111111111,0.08830022075055188,0.13957597173144876,0.65,0.3653095380133083
Pennsylvania,12.51,48856,2.0,,PJM,0.55,131,0.8423188405797101,0.244109086307264,0.0,0.15547703180212014,0.55,0.35770238808216753
Utah,9.97,10277,8.8,,Western Interconnection,0.75,43,0.9895652173913043,0.0,0.1501103752759382,0.0,0.75,0.3524133794030137
North Carolina,11.65,36337,5.8,,Southeast,0.5,93,0.8921739130434782,0.16489496330043027,0.08388520971302428,0.08833922261484099,0.5,0.3487121055515502
Tennessee,10.9,20605,5.2,,TVA,0.5,61,0.9356521739130436,0.06535054416603392,0.07064017660044151,0.03180212014134275,0.5,0.3207391388681262
