State,current_generation_capacity_mw,current_generation_mwh,current_electricity_demand_mwh,planned_capacity_additions_mw_2030
Texas,168317,566502688,505431317,
Virginia,29147,102698615,138044772,
Arizona,32877,116026511,90843288,
California,96773,214191383,245717145,
Nevada,16725,45528427,40664639,
Georgia,39746,139805428,150003965,
Ohio,30491,142746706,153707376,
Oregon,17692,64661249,59680701,
Washington,30975,102397711,89981629,
North Carolina,36337,134965396,136904526,
Utah,10277,35133906,34688083,
Tennessee,20605,76166766,102962435,
Indiana,27837,97012880,99219607,
Pennsylvania,48856,241498648,142146514,
Illinois,46279,185012935,133226907,
