Variable,Weight
Electricity_Price,0.15
Grid_Capacity,0.18
Renewable_Share,0.05
Carbon_Intensity,0.05
Power_Reliability,0.10
Transmission_Congestion,0.10
Land_Availability,0.05
Water_Stress,0.05
Existing_Data_Center_Ecosystem,0.10
Interconnection_Queue_Time,0.08
Available_Transmission_Capacity,0.05
Substation_Availability,0.02
Load_Growth_Pressure,0.02
Power_Delivery_Risk,0.03
Natural_Gas_Price,0.02
Solar_Resource,0.03
Geothermal_Potential,0.02
Nuclear_Capacity,0.03
Behind_The_Meter_Potential,0.12
